ID,author_year,link,Substance,type,func,vendor,media,agg_diameter,length,size_class,lat_size,layer,thick,ssa,z_pot,plate,ali,dose,time,bmd_id,species,cell_type_general,cell_type,n_cell,endotox,notes,variable,value
11,Bengtson et al 2016,https://pubmed.ncbi.nlm.nih.gov/27189646/,rGO,rGO short,,Graphenea,DMEM F12 + Glutamax + 2% FBS 1% + 0.001% EGF,,,L,1250,2.5,,274,-10.7,24,Submerged,5,24,20,rodent,epithelial,FEI1 murine lung epithelial cells,1x10^5,YES,,nucleo,100
12,Bengtson et al 2016,https://pubmed.ncbi.nlm.nih.gov/27189646/,rGO,rGO short,,Graphenea,DMEM F12 + Glutamax + 2% FBS 1% + 0.001% EGF,,,L,1250,2.5,,274,-10.7,24,Submerged,25,24,20,rodent,epithelial,FEI1 murine lung epithelial cells,1x10^5,YES,,nucleo,100
13,Bengtson et al 2016,https://pubmed.ncbi.nlm.nih.gov/27189646/,rGO,rGO long ,,Graphenea,DMEM F12 + Glutamax + 2% FBS 1% + 0.001% EGF,,,M,500,2.5,,335,-12.2,24,Submerged,5,24,21,rodent,epithelial,FEI1 murine lung epithelial cells,1x10^5,YES,,nucleo,100
14,Bengtson et al 2016,https://pubmed.ncbi.nlm.nih.gov/27189646/,rGO,rGO long ,,Graphenea,DMEM F12 + Glutamax + 2% FBS 1% + 0.001% EGF,,,M,500,2.5,,335,-12.2,24,Submerged,10,24,21,rodent,epithelial,FEI1 murine lung epithelial cells,1x10^5,YES,,nucleo,100
15,Bengtson et al 2016,https://pubmed.ncbi.nlm.nih.gov/27189646/,rGO,rGO long ,,Graphenea,DMEM F12 + Glutamax + 2% FBS 1% + 0.001% EGF,,,M,500,2.5,,335,-12.2,24,Submerged,25,24,21,rodent,epithelial,FEI1 murine lung epithelial cells,1x10^5,YES,,nucleo,100
16,Bengtson et al 2016,https://pubmed.ncbi.nlm.nih.gov/27189646/,rGO,rGO long ,,Graphenea,DMEM F12 + Glutamax + 2% FBS 1% + 0.001% EGF,,,M,500,2.5,,335,-12.2,24,Submerged,50,24,21,rodent,epithelial,FEI1 murine lung epithelial cells,1x10^5,YES,,nucleo,100
17,Bengtson et al 2016,https://pubmed.ncbi.nlm.nih.gov/27189646/,rGO,rGO long ,,Graphenea,DMEM F12 + Glutamax + 2% FBS 1% + 0.001% EGF,,,M,500,2.5,,335,-12.2,24,Submerged,100,24,21,rodent,epithelial,FEI1 murine lung epithelial cells,1x10^5,YES,,nucleo,100
18,Bengtson et al 2016,https://pubmed.ncbi.nlm.nih.gov/27189646/,rGO,rGO long ,,Graphenea,DMEM F12 + Glutamax + 2% FBS 1% + 0.001% EGF,,,M,500,2.5,,335,-12.2,24,Submerged,200,24,21,rodent,epithelial,FEI1 murine lung epithelial cells,1x10^5,YES,,nucleo,99
19,Ma et al 2015,https://pubmed.ncbi.nlm.nih.gov/26389709/,Graphene oxide,GO Sheets long,,"In house for lateral size, Go original from Asbury Mills. 3061 grade graphite",DMEM OR RPMI plus 10% FBS,,,L,1000,1,1,,-6.9,96,Submerged,160,24,1018,rodent,macrophage,J774A.1,0.8x10^4,,,alive,53.6
20,Ma et al 2015,https://pubmed.ncbi.nlm.nih.gov/26389709/,Graphene oxide,GO Sheets long,,"In house for lateral size, Go original from Asbury Mills. 3061 grade graphite",DMEM OR RPMI plus 10% FBS,,,L,1000,1,1,,-6.9,96,Submerged,300,24,1018,rodent,macrophage,J774A.1,0.8x10^4,,,alive,30.6
21,Ma et al 2015,https://pubmed.ncbi.nlm.nih.gov/26389709/,Graphene oxide,GO Sheets long,,"In house for lateral size, Go original from Asbury Mills. 3061 grade graphite",DMEM OR RPMI plus 10% FBS,,,L,1000,1,1,,-6.9,96,Submerged,80,24,1018,rodent,macrophage,J774A.1,0.8x10^4,,,alive,67.9
22,Ma et al 2015,https://pubmed.ncbi.nlm.nih.gov/26389709/,Graphene oxide,GO Sheets long,,"In house for lateral size, Go original from Asbury Mills. 3061 grade graphite",DMEM OR RPMI plus 10% FBS,,,L,1000,1,1,,-6.9,96,Submerged,40,24,1018,rodent,macrophage,J774A.1,0.8x10^4,,,alive,74.2
23,Ma et al 2015,https://pubmed.ncbi.nlm.nih.gov/26389709/,Graphene oxide,GO Sheets long,,"In house for lateral size, Go original from Asbury Mills. 3061 grade graphite",DMEM OR RPMI plus 10% FBS,,,L,1000,1,1,,-6.9,96,Submerged,10,24,1018,rodent,macrophage,J774A.1,0.8x10^4,,,alive,91.7
24,Ma et al 2015,https://pubmed.ncbi.nlm.nih.gov/26389709/,Graphene oxide,GO Sheets long,,"In house for lateral size, Go original from Asbury Mills. 3061 grade graphite",DMEM OR RPMI plus 10% FBS,,,L,1000,1,1,,-6.9,96,Submerged,5,24,1018,rodent,macrophage,J774A.1,0.8x10^4,,,alive,97.2
25,Ma et al 2015,https://pubmed.ncbi.nlm.nih.gov/26389709/,Graphene oxide,GO Sheets long,,"In house for lateral size, Go original from Asbury Mills. 3061 grade graphite",DMEM OR RPMI plus 10% FBS,,,L,1000,1,1,,-6.9,96,Submerged,1,24,1018,rodent,macrophage,J774A.1,0.8x10^4,,,alive,99.5
26,Ma et al 2015,https://pubmed.ncbi.nlm.nih.gov/26389709/,Graphene oxide,GO Sheets long,,"In house for lateral size, Go original from Asbury Mills. 3061 grade graphite",DMEM OR RPMI plus 10% FBS,,,L,1000,1,1,,-6.9,96,Submerged,20,24,1018,rodent,macrophage,J774A.1,0.8x10^4,,,alive,78.5
27,Chaterje N 2015,https://pubmed.ncbi.nlm.nih.gov/26602558/,Graphene,GNPs,,Cheap tubes,F12 + 10% FBS,,,L,1500,2,<4,>750,,6,Submerged,10,240,2013,human,epithelial,BEAS- 2B,250,,,cfa,49.8
28,Chaterje N 2015,https://pubmed.ncbi.nlm.nih.gov/26602558/,Graphene,GNPs,,Cheap tubes,F12 + 10% FBS,,,L,1500,2,<4,>750,,6,Submerged,50,240,2013,human,epithelial,BEAS- 2B,250,,,cfa,36.1
29,Chaterje N 2015,https://pubmed.ncbi.nlm.nih.gov/26602558/,Graphene oxide,GO Single layer ,,Cheap tubes,F12 + 10% FBS,,,M,800,1,0.7-1.2,,,6,Submerged,50,240,2014,human,epithelial,BEAS- 2B,250,,,cfa,59.7
30,Chaterje N 2015,https://pubmed.ncbi.nlm.nih.gov/26602558/,Graphene oxide,GO Single layer ,,Cheap tubes,F12 + 10% FBS,,,M,800,1,0.7-1.2,,,6,Submerged,10,240,2014,human,epithelial,BEAS- 2B,250,,,cfa,80
31,Chaterje N 2015,https://pubmed.ncbi.nlm.nih.gov/26602558/,Graphene oxide,GO few layers ,,Cheap tubes,F12 + 10% FBS,,,M,800,6,4.2-7.2,,,6,Submerged,50,240,2015,human,epithelial,BEAS- 2B,250,,,cfa,53.4
32,Chaterje N 2015,https://pubmed.ncbi.nlm.nih.gov/26602558/,Graphene oxide,GO few layers ,,Cheap tubes,F12 + 10% FBS,,,M,800,6,4.2-7.2,,,6,Submerged,10,240,2015,human,epithelial,BEAS- 2B,250,,,cfa,64.8
33,Chaterje N 2015,https://pubmed.ncbi.nlm.nih.gov/26602558/,Graphene,GNPs NH2 functionalised,NH2,Cheap tubes,F12 + 10% FBS,,,L,1500,1.5,<3,>750,,6,Submerged,10,240,2016,human,epithelial,BEAS- 2B,250,,,cfa,48.1
34,Chaterje N 2015,https://pubmed.ncbi.nlm.nih.gov/26602558/,Graphene,GNPs NH2 functionalised,NH2,Cheap tubes,F12 + 10% FBS,,,L,1500,1.5,<3,>750,,6,Submerged,50,240,2016,human,epithelial,BEAS- 2B,250,,,cfa,29.9
35,Chaterje N 2015,https://pubmed.ncbi.nlm.nih.gov/26602558/,Graphene,GNPs COOH functionaliised,COOH,Cheap tubes,F12 + 10% FBS,,,L,1500,1.5,<3,>750,,6,Submerged,50,240,2017,human,epithelial,BEAS- 2B,250,,,cfa,37.5
36,Chaterje N 2015,https://pubmed.ncbi.nlm.nih.gov/26602558/,Graphene,GNPs COOH functionaliised,COOH,Cheap tubes,F12 + 10% FBS,,,L,1500,1.5,<3,>750,,6,Submerged,10,240,2017,human,epithelial,BEAS- 2B,250,,,cfa,62.5
37,Chaterje N 2015,https://pubmed.ncbi.nlm.nih.gov/26602558/,Graphene,GNPs pristine,,Cheap tubes,F12 + 10% FBS,,,L,1500,2,<4,>750,,96,Submerged,100,24,3008,human,epithelial,BEAS- 2B,5x10^3,,,ez_cyto,25
38,Chaterje N 2015,https://pubmed.ncbi.nlm.nih.gov/26602558/,Graphene,GNPs pristine,,Cheap tubes,F12 + 10% FBS,,,L,1500,2,<4,>750,,96,Submerged,5,24,3008,human,epithelial,BEAS- 2B,5x10^3,,,ez_cyto,100
39,Chaterje N 2015,https://pubmed.ncbi.nlm.nih.gov/26602558/,Graphene,GNPs pristine,,Cheap tubes,F12 + 10% FBS,,,L,1500,2,<4,>750,,96,Submerged,10,24,3008,human,epithelial,BEAS- 2B,5x10^3,,,ez_cyto,98.9
40,Chaterje N 2015,https://pubmed.ncbi.nlm.nih.gov/26602558/,Graphene,GNPs pristine,,Cheap tubes,F12 + 10% FBS,,,L,1500,2,<4,>750,,96,Submerged,25,24,3008,human,epithelial,BEAS- 2B,5x10^3,,,ez_cyto,83.5
41,Chaterje N 2015,https://pubmed.ncbi.nlm.nih.gov/26602558/,Graphene,GNPs pristine,,Cheap tubes,F12 + 10% FBS,,,L,1500,2,<4,>750,,96,Submerged,50,24,3008,human,epithelial,BEAS- 2B,5x10^3,,,ez_cyto,60.5
42,Chaterje N 2015,https://pubmed.ncbi.nlm.nih.gov/26602558/,Graphene,GNPs pristine,,Cheap tubes,F12 + 10% FBS,,,L,1500,2,<4,>750,,96,Submerged,75,24,3008,human,epithelial,BEAS- 2B,5x10^3,,,ez_cyto,41.9
43,Chaterje N 2015,https://pubmed.ncbi.nlm.nih.gov/26602558/,Graphene,GNPs pristine,,Cheap tubes,F12 + 10% FBS,,,L,1500,2,<4,>750,,96,Submerged,150,24,3008,human,epithelial,BEAS- 2B,5x10^3,,,ez_cyto,14.1
44,Chaterje N 2015,https://pubmed.ncbi.nlm.nih.gov/26602558/,Graphene oxide,GO single layer,,Cheap tubes,F12 + 10% FBS,,,M,800,1,0.7-1.2,,,96,Submerged,75,24,3009,human,epithelial,BEAS- 2B,5x10^3,,,ez_cyto,68.6
45,Chaterje N 2015,https://pubmed.ncbi.nlm.nih.gov/26602558/,Graphene oxide,GO single layer,,Cheap tubes,F12 + 10% FBS,,,M,800,1,0.7-1.2,,,96,Submerged,150,24,3009,human,epithelial,BEAS- 2B,5x10^3,,,ez_cyto,28.1
46,Chaterje N 2015,https://pubmed.ncbi.nlm.nih.gov/26602558/,Graphene oxide,GO single layer,,Cheap tubes,F12 + 10% FBS,,,M,800,1,0.7-1.2,,,96,Submerged,50,24,3009,human,epithelial,BEAS- 2B,5x10^3,,,ez_cyto,82.5
47,Chaterje N 2015,https://pubmed.ncbi.nlm.nih.gov/26602558/,Graphene oxide,GO single layer,,Cheap tubes,F12 + 10% FBS,,,M,800,1,0.7-1.2,,,96,Submerged,100,24,3009,human,epithelial,BEAS- 2B,5x10^3,,,ez_cyto,49.1
48,Chaterje N 2015,https://pubmed.ncbi.nlm.nih.gov/26602558/,Graphene oxide,GO single layer,,Cheap tubes,F12 + 10% FBS,,,M,800,1,0.7-1.2,,,96,Submerged,10,24,3009,human,epithelial,BEAS- 2B,5x10^3,,,ez_cyto,94.6
49,Chaterje N 2015,https://pubmed.ncbi.nlm.nih.gov/26602558/,Graphene oxide,GO single layer,,Cheap tubes,F12 + 10% FBS,,,M,800,1,0.7-1.2,,,96,Submerged,5,24,3009,human,epithelial,BEAS- 2B,5x10^3,,,ez_cyto,94.5
50,Chaterje N 2015,https://pubmed.ncbi.nlm.nih.gov/26602558/,Graphene oxide,GO single layer,,Cheap tubes,F12 + 10% FBS,,,M,800,1,0.7-1.2,,,96,Submerged,25,24,3009,human,epithelial,BEAS- 2B,5x10^3,,,ez_cyto,88.1
51,Chaterje N 2015,https://pubmed.ncbi.nlm.nih.gov/26602558/,Graphene oxide,GO few layers,,Cheap tubes,F12 + 10% FBS,,,M,800,6,4.2-7.2,,,96,Submerged,5,24,3010,human,epithelial,BEAS- 2B,5x10^3,,,ez_cyto,100
52,Chaterje N 2015,https://pubmed.ncbi.nlm.nih.gov/26602558/,Graphene oxide,GO few layers,,Cheap tubes,F12 + 10% FBS,,,M,800,6,4.2-7.2,,,96,Submerged,10,24,3010,human,epithelial,BEAS- 2B,5x10^3,,,ez_cyto,100
53,Chaterje N 2015,https://pubmed.ncbi.nlm.nih.gov/26602558/,Graphene oxide,GO few layers,,Cheap tubes,F12 + 10% FBS,,,M,800,6,4.2-7.2,,,96,Submerged,25,24,3010,human,epithelial,BEAS- 2B,5x10^3,,,ez_cyto,93.2
54,Chaterje N 2015,https://pubmed.ncbi.nlm.nih.gov/26602558/,Graphene oxide,GO few layers,,Cheap tubes,F12 + 10% FBS,,,M,800,6,4.2-7.2,,,96,Submerged,50,24,3010,human,epithelial,BEAS- 2B,5x10^3,,,ez_cyto,81.4
55,Chaterje N 2015,https://pubmed.ncbi.nlm.nih.gov/26602558/,Graphene oxide,GO few layers,,Cheap tubes,F12 + 10% FBS,,,M,800,6,4.2-7.2,,,96,Submerged,75,24,3010,human,epithelial,BEAS- 2B,5x10^3,,,ez_cyto,68.1
56,Chaterje N 2015,https://pubmed.ncbi.nlm.nih.gov/26602558/,Graphene oxide,GO few layers,,Cheap tubes,F12 + 10% FBS,,,M,800,6,4.2-7.2,,,96,Submerged,100,24,3010,human,epithelial,BEAS- 2B,5x10^3,,,ez_cyto,52.9
57,Chaterje N 2015,https://pubmed.ncbi.nlm.nih.gov/26602558/,Graphene oxide,GO few layers,,Cheap tubes,F12 + 10% FBS,,,M,800,6,4.2-7.2,,,96,Submerged,150,24,3010,human,epithelial,BEAS- 2B,5x10^3,,,ez_cyto,41
58,Chaterje N 2015,https://pubmed.ncbi.nlm.nih.gov/26602558/,Graphene,GNPs NH2 functionalised,NH2,Cheap tubes,F12 + 10% FBS,,,L,1500,1.5,<3,>750,,96,Submerged,150,24,3011,human,epithelial,BEAS- 2B,5x10^3,,,ez_cyto,26.32
59,Chaterje N 2015,https://pubmed.ncbi.nlm.nih.gov/26602558/,Graphene,GNPs NH2 functionalised,NH2,Cheap tubes,F12 + 10% FBS,,,L,1500,1.5,<3,>750,,96,Submerged,100,24,3011,human,epithelial,BEAS- 2B,5x10^3,,,ez_cyto,40.1
60,Chaterje N 2015,https://pubmed.ncbi.nlm.nih.gov/26602558/,Graphene,GNPs NH2 functionalised,NH2,Cheap tubes,F12 + 10% FBS,,,L,1500,1.5,<3,>750,,96,Submerged,50,24,3011,human,epithelial,BEAS- 2B,5x10^3,,,ez_cyto,64.4
61,Chaterje N 2015,https://pubmed.ncbi.nlm.nih.gov/26602558/,Graphene,GNPs NH2 functionalised,NH2,Cheap tubes,F12 + 10% FBS,,,L,1500,1.5,<3,>750,,96,Submerged,75,24,3011,human,epithelial,BEAS- 2B,5x10^3,,,ez_cyto,57.7
62,Chaterje N 2015,https://pubmed.ncbi.nlm.nih.gov/26602558/,Graphene,GNPs NH2 functionalised,NH2,Cheap tubes,F12 + 10% FBS,,,L,1500,1.5,<3,>750,,96,Submerged,10,24,3011,human,epithelial,BEAS- 2B,5x10^3,,,ez_cyto,97.5
63,Chaterje N 2015,https://pubmed.ncbi.nlm.nih.gov/26602558/,Graphene,GNPs NH2 functionalised,NH2,Cheap tubes,F12 + 10% FBS,,,L,1500,1.5,<3,>750,,96,Submerged,5,24,3011,human,epithelial,BEAS- 2B,5x10^3,,,ez_cyto,100
64,Chaterje N 2015,https://pubmed.ncbi.nlm.nih.gov/26602558/,Graphene,GNPs NH2 functionalised,NH2,Cheap tubes,F12 + 10% FBS,,,L,1500,1.5,<3,>750,,96,Submerged,25,24,3011,human,epithelial,BEAS- 2B,5x10^3,,,ez_cyto,82
65,Chaterje N 2015,https://pubmed.ncbi.nlm.nih.gov/26602558/,Graphene,GNPs COOH functionaliised,COOH,Cheap tubes,F12 + 10% FBS,,,L,1500,1.5,<3,>750,,96,Submerged,5,24,3012,human,epithelial,BEAS- 2B,5x10^3,,,ez_cyto,100
66,Chaterje N 2015,https://pubmed.ncbi.nlm.nih.gov/26602558/,Graphene,GNPs COOH functionaliised,COOH,Cheap tubes,F12 + 10% FBS,,,L,1500,1.5,<3,>750,,96,Submerged,10,24,3012,human,epithelial,BEAS- 2B,5x10^3,,,ez_cyto,100
67,Chaterje N 2015,https://pubmed.ncbi.nlm.nih.gov/26602558/,Graphene,GNPs COOH functionaliised,COOH,Cheap tubes,F12 + 10% FBS,,,L,1500,1.5,<3,>750,,96,Submerged,25,24,3012,human,epithelial,BEAS- 2B,5x10^3,,,ez_cyto,85
68,Chaterje N 2015,https://pubmed.ncbi.nlm.nih.gov/26602558/,Graphene,GNPs COOH functionaliised,COOH,Cheap tubes,F12 + 10% FBS,,,L,1500,1.5,<3,>750,,96,Submerged,50,24,3012,human,epithelial,BEAS- 2B,5x10^3,,,ez_cyto,53.4
69,Chaterje N 2015,https://pubmed.ncbi.nlm.nih.gov/26602558/,Graphene,GNPs COOH functionaliised,COOH,Cheap tubes,F12 + 10% FBS,,,L,1500,1.5,<3,>750,,96,Submerged,75,24,3012,human,epithelial,BEAS- 2B,5x10^3,,,ez_cyto,44.2
70,Chaterje N 2015,https://pubmed.ncbi.nlm.nih.gov/26602558/,Graphene,GNPs COOH functionaliised,COOH,Cheap tubes,F12 + 10% FBS,,,L,1500,1.5,<3,>750,,96,Submerged,100,24,3012,human,epithelial,BEAS- 2B,5x10^3,,,ez_cyto,38.7
71,Chaterje N 2015,https://pubmed.ncbi.nlm.nih.gov/26602558/,Graphene,GNPs COOH functionaliised,COOH,Cheap tubes,F12 + 10% FBS,,,L,1500,1.5,<3,>750,,96,Submerged,150,24,3012,human,epithelial,BEAS- 2B,5x10^3,,,ez_cyto,22.9
72,Mittal et all 2016,https://www.nature.com/articles/srep39548,Graphene oxide,GO,,in house ,DMEM F12 +10%FBS,126.3,,S,400,1,,,-13.7,96,Submerged,100,24,4070,human,epithelial,A549,10^4,NO,,viability_pi,74.04255319
73,Mittal et all 2016,https://www.nature.com/articles/srep39548,Graphene oxide,GO,,in house ,DMEM F12 +10%FBS,126.3,,S,400,1,,,-13.7,96,Submerged,50,24,4070,human,epithelial,A549,10^4,NO,,viability_pi,82.34042553
74,Mittal et all 2016,https://www.nature.com/articles/srep39548,Graphene oxide,GO,,in house ,DMEM F12 +10%FBS,126.3,,S,400,1,,,-13.7,96,Submerged,10,24,4070,human,epithelial,A549,10^4,NO,,viability_pi,90.85106383
75,Mittal et all 2016,https://www.nature.com/articles/srep39548,Graphene oxide,GO,,in house ,DMEM F12 +10%FBS,126.3,,S,400,1,,,-13.7,96,Submerged,1,24,4070,human,epithelial,A549,10^4,NO,,viability_pi,96.17021277
76,Mittal et all 2016,https://www.nature.com/articles/srep39548,Graphene oxide,GO,,in house ,DMEM F12 +10%FBS,126.3,,S,400,1,,,-13.7,96,Submerged,25,24,4070,human,epithelial,A549,10^4,NO,,viability_pi,85.85106383
77,Mittal et all 2016,https://www.nature.com/articles/srep39548,Graphene oxide,GO,,in house ,RPMI + 10% FBS,126.3,,S,400,1,,,-13.7,96,Submerged,1,24,4074,human,epithelial,BEAS- 2B,10^4,NO,,viability_pi,96.41025641
78,Mittal et all 2016,https://www.nature.com/articles/srep39548,Graphene oxide,GO,,in house ,RPMI + 10% FBS,126.3,,S,400,1,,,-13.7,96,Submerged,10,24,4074,human,epithelial,BEAS- 2B,10^4,NO,,viability_pi,93.46153846
79,Mittal et all 2016,https://www.nature.com/articles/srep39548,Graphene oxide,GO,,in house ,RPMI + 10% FBS,126.3,,S,400,1,,,-13.7,96,Submerged,25,24,4074,human,epithelial,BEAS- 2B,10^4,NO,,viability_pi,90.64102564
80,Mittal et all 2016,https://www.nature.com/articles/srep39548,Graphene oxide,GO,,in house ,RPMI + 10% FBS,126.3,,S,400,1,,,-13.7,96,Submerged,50,24,4074,human,epithelial,BEAS- 2B,10^4,NO,,viability_pi,88.84615385
81,Mittal et all 2016,https://www.nature.com/articles/srep39548,Graphene oxide,GO,,in house ,RPMI + 10% FBS,126.3,,S,400,1,,,-13.7,96,Submerged,100,24,4074,human,epithelial,BEAS- 2B,10^4,NO,,viability_pi,82.5
82,Mittal et all 2016,https://www.nature.com/articles/srep39548,rGO,thermally reduced GO,,in house ,DMEM F12 +10%FBS,66.98,,S,150,3.5,,,-6.9,96,Submerged,50,24,4078,human,epithelial,A549,10^4,NO,,viability_pi,77.87234043
83,Mittal et all 2016,https://www.nature.com/articles/srep39548,rGO,thermally reduced GO,,in house ,DMEM F12 +10%FBS,66.98,,S,150,3.5,,,-6.9,96,Submerged,25,24,4078,human,epithelial,A549,10^4,NO,,viability_pi,83.82978723
84,Mittal et all 2016,https://www.nature.com/articles/srep39548,rGO,thermally reduced GO,,in house ,DMEM F12 +10%FBS,66.98,,S,150,3.5,,,-6.9,96,Submerged,100,24,4078,human,epithelial,A549,10^4,NO,,viability_pi,69.57446809
85,Mittal et all 2016,https://www.nature.com/articles/srep39548,rGO,thermally reduced GO,,in house ,DMEM F12 +10%FBS,66.98,,S,150,3.5,,,-6.9,96,Submerged,1,24,4078,human,epithelial,A549,10^4,NO,,viability_pi,93.08510638
86,Mittal et all 2016,https://www.nature.com/articles/srep39548,rGO,thermally reduced GO,,in house ,DMEM F12 +10%FBS,66.98,,S,150,3.5,,,-6.9,96,Submerged,10,24,4078,human,epithelial,A549,10^4,NO,,viability_pi,88.19148936
87,Mittal et all 2016,https://www.nature.com/articles/srep39548,rGO,thermally reduced GO,,in house ,RPMI + 10% FBS,66.98,,S,150,3.5,,,-6.9,96,Submerged,1,24,4082,human,epithelial,BEAS- 2B,10^4,NO,,viability_pi,94.48717949
88,Mittal et all 2016,https://www.nature.com/articles/srep39548,rGO,thermally reduced GO,,in house ,RPMI + 10% FBS,66.98,,S,150,3.5,,,-6.9,96,Submerged,10,24,4082,human,epithelial,BEAS- 2B,10^4,NO,,viability_pi,88.84615385
89,Mittal et all 2016,https://www.nature.com/articles/srep39548,rGO,thermally reduced GO,,in house ,RPMI + 10% FBS,66.98,,S,150,3.5,,,-6.9,96,Submerged,25,24,4082,human,epithelial,BEAS- 2B,10^4,NO,,viability_pi,84.80769231
90,Mittal et all 2016,https://www.nature.com/articles/srep39548,rGO,thermally reduced GO,,in house ,RPMI + 10% FBS,66.98,,S,150,3.5,,,-6.9,96,Submerged,50,24,4082,human,epithelial,BEAS- 2B,10^4,NO,,viability_pi,81.21794872
91,Mittal et all 2016,https://www.nature.com/articles/srep39548,rGO,thermally reduced GO,,in house ,RPMI + 10% FBS,66.98,,S,150,3.5,,,-6.9,96,Submerged,100,24,4082,human,epithelial,BEAS- 2B,10^4,NO,,viability_pi,75.51282051
92,Mittal et all 2016,https://www.nature.com/articles/srep39548,rGO,Chemically reduced GO,,in house ,DMEM F12 +10%FBS,97.3,,S,250,3.5,,,-9.46,96,Submerged,1,24,4086,human,epithelial,A549,10^4,NO,,viability_pi,99.68085106
93,Mittal et all 2016,https://www.nature.com/articles/srep39548,rGO,Chemically reduced GO,,in house ,DMEM F12 +10%FBS,97.3,,S,250,3.5,,,-9.46,96,Submerged,10,24,4086,human,epithelial,A549,10^4,NO,,viability_pi,97.0212766
94,Mittal et all 2016,https://www.nature.com/articles/srep39548,rGO,Chemically reduced GO,,in house ,DMEM F12 +10%FBS,97.3,,S,250,3.5,,,-9.46,96,Submerged,25,24,4086,human,epithelial,A549,10^4,NO,,viability_pi,95.85106383
95,Mittal et all 2016,https://www.nature.com/articles/srep39548,rGO,Chemically reduced GO,,in house ,DMEM F12 +10%FBS,97.3,,S,250,3.5,,,-9.46,96,Submerged,50,24,4086,human,epithelial,A549,10^4,NO,,viability_pi,94.68085106
96,Mittal et all 2016,https://www.nature.com/articles/srep39548,rGO,Chemically reduced GO,,in house ,DMEM F12 +10%FBS,97.3,,S,250,3.5,,,-9.46,96,Submerged,100,24,4086,human,epithelial,A549,10^4,NO,,viability_pi,93.61702128
