,ID,author_year,link,Substance,type,func,vendor,media,agg_diameter,length,size_class,lat_size,layer,thick,ssa,z_pot,plate,ali,dose,time,bmd_id,species,cell_type_general,cell_type,n_cell,endotox,notes,variable,value
19,20,Ma et al 2015,https://pubmed.ncbi.nlm.nih.gov/26389709/,Graphene oxide,GO Sheets long,,"In house for lateral size, Go original from Asbury Mills. 3061 grade graphite",DMEM OR RPMI plus 10% FBS,,,L,1000,1.0,1,,-6.9,96,Submerged,300.0,24.0,1018,rodent,macrophage,J774A.1,0.8x10^4,,,alive,30.6
20,21,Ma et al 2015,https://pubmed.ncbi.nlm.nih.gov/26389709/,Graphene oxide,GO Sheets long,,"In house for lateral size, Go original from Asbury Mills. 3061 grade graphite",DMEM OR RPMI plus 10% FBS,,,L,1000,1.0,1,,-6.9,96,Submerged,80.0,24.0,1018,rodent,macrophage,J774A.1,0.8x10^4,,,alive,67.9
21,22,Ma et al 2015,https://pubmed.ncbi.nlm.nih.gov/26389709/,Graphene oxide,GO Sheets long,,"In house for lateral size, Go original from Asbury Mills. 3061 grade graphite",DMEM OR RPMI plus 10% FBS,,,L,1000,1.0,1,,-6.9,96,Submerged,40.0,24.0,1018,rodent,macrophage,J774A.1,0.8x10^4,,,alive,74.2
22,23,Ma et al 2015,https://pubmed.ncbi.nlm.nih.gov/26389709/,Graphene oxide,GO Sheets long,,"In house for lateral size, Go original from Asbury Mills. 3061 grade graphite",DMEM OR RPMI plus 10% FBS,,,L,1000,1.0,1,,-6.9,96,Submerged,10.0,24.0,1018,rodent,macrophage,J774A.1,0.8x10^4,,,alive,91.7
23,24,Ma et al 2015,https://pubmed.ncbi.nlm.nih.gov/26389709/,Graphene oxide,GO Sheets long,,"In house for lateral size, Go original from Asbury Mills. 3061 grade graphite",DMEM OR RPMI plus 10% FBS,,,L,1000,1.0,1,,-6.9,96,Submerged,5.0,24.0,1018,rodent,macrophage,J774A.1,0.8x10^4,,,alive,97.2
24,25,Ma et al 2015,https://pubmed.ncbi.nlm.nih.gov/26389709/,Graphene oxide,GO Sheets long,,"In house for lateral size, Go original from Asbury Mills. 3061 grade graphite",DMEM OR RPMI plus 10% FBS,,,L,1000,1.0,1,,-6.9,96,Submerged,1.0,24.0,1018,rodent,macrophage,J774A.1,0.8x10^4,,,alive,99.5
25,26,Ma et al 2015,https://pubmed.ncbi.nlm.nih.gov/26389709/,Graphene oxide,GO Sheets long,,"In house for lateral size, Go original from Asbury Mills. 3061 grade graphite",DMEM OR RPMI plus 10% FBS,,,L,1000,1.0,1,,-6.9,96,Submerged,20.0,24.0,1018,rodent,macrophage,J774A.1,0.8x10^4,,,alive,78.5
26,27,Chaterje N 2015,https://pubmed.ncbi.nlm.nih.gov/26602558/,Graphene,GNPs,,Cheap tubes,F12 + 10% FBS,,,L,1500,2.0,<4,>750,,6,Submerged,10.0,240.0,2013,human,epithelial,BEAS- 2B,250,,,cfa,49.8
27,28,Chaterje N 2015,https://pubmed.ncbi.nlm.nih.gov/26602558/,Graphene,GNPs,,Cheap tubes,F12 + 10% FBS,,,L,1500,2.0,<4,>750,,6,Submerged,50.0,240.0,2013,human,epithelial,BEAS- 2B,250,,,cfa,36.1
28,29,Chaterje N 2015,https://pubmed.ncbi.nlm.nih.gov/26602558/,Graphene oxide,GO Single layer ,,Cheap tubes,F12 + 10% FBS,,,M,800,1.0,0.7-1.2,,,6,Submerged,50.0,240.0,2014,human,epithelial,BEAS- 2B,250,,,cfa,59.7
29,30,Chaterje N 2015,https://pubmed.ncbi.nlm.nih.gov/26602558/,Graphene oxide,GO Single layer ,,Cheap tubes,F12 + 10% FBS,,,M,800,1.0,0.7-1.2,,,6,Submerged,10.0,240.0,2014,human,epithelial,BEAS- 2B,250,,,cfa,80.0
30,31,Chaterje N 2015,https://pubmed.ncbi.nlm.nih.gov/26602558/,Graphene oxide,GO few layers ,,Cheap tubes,F12 + 10% FBS,,,M,800,6.0,4.2-7.2,,,6,Submerged,50.0,240.0,2015,human,epithelial,BEAS- 2B,250,,,cfa,53.4
31,32,Chaterje N 2015,https://pubmed.ncbi.nlm.nih.gov/26602558/,Graphene oxide,GO few layers ,,Cheap tubes,F12 + 10% FBS,,,M,800,6.0,4.2-7.2,,,6,Submerged,10.0,240.0,2015,human,epithelial,BEAS- 2B,250,,,cfa,64.8
32,33,Chaterje N 2015,https://pubmed.ncbi.nlm.nih.gov/26602558/,Graphene,GNPs NH2 functionalised,NH2,Cheap tubes,F12 + 10% FBS,,,L,1500,1.5,<3,>750,,6,Submerged,10.0,240.0,2016,human,epithelial,BEAS- 2B,250,,,cfa,48.1
33,34,Chaterje N 2015,https://pubmed.ncbi.nlm.nih.gov/26602558/,Graphene,GNPs NH2 functionalised,NH2,Cheap tubes,F12 + 10% FBS,,,L,1500,1.5,<3,>750,,6,Submerged,50.0,240.0,2016,human,epithelial,BEAS- 2B,250,,,cfa,29.9
34,35,Chaterje N 2015,https://pubmed.ncbi.nlm.nih.gov/26602558/,Graphene,GNPs COOH functionaliised,COOH,Cheap tubes,F12 + 10% FBS,,,L,1500,1.5,<3,>750,,6,Submerged,50.0,240.0,2017,human,epithelial,BEAS- 2B,250,,,cfa,37.5
35,36,Chaterje N 2015,https://pubmed.ncbi.nlm.nih.gov/26602558/,Graphene,GNPs COOH functionaliised,COOH,Cheap tubes,F12 + 10% FBS,,,L,1500,1.5,<3,>750,,6,Submerged,10.0,240.0,2017,human,epithelial,BEAS- 2B,250,,,cfa,62.5
36,37,Chaterje N 2015,https://pubmed.ncbi.nlm.nih.gov/26602558/,Graphene,GNPs pristine,,Cheap tubes,F12 + 10% FBS,,,L,1500,2.0,<4,>750,,96,Submerged,100.0,24.0,3008,human,epithelial,BEAS- 2B,5x10^3,,,ez_cyto,25.0
37,38,Chaterje N 2015,https://pubmed.ncbi.nlm.nih.gov/26602558/,Graphene,GNPs pristine,,Cheap tubes,F12 + 10% FBS,,,L,1500,2.0,<4,>750,,96,Submerged,5.0,24.0,3008,human,epithelial,BEAS- 2B,5x10^3,,,ez_cyto,100.0
38,39,Chaterje N 2015,https://pubmed.ncbi.nlm.nih.gov/26602558/,Graphene,GNPs pristine,,Cheap tubes,F12 + 10% FBS,,,L,1500,2.0,<4,>750,,96,Submerged,10.0,24.0,3008,human,epithelial,BEAS- 2B,5x10^3,,,ez_cyto,98.9
39,40,Chaterje N 2015,https://pubmed.ncbi.nlm.nih.gov/26602558/,Graphene,GNPs pristine,,Cheap tubes,F12 + 10% FBS,,,L,1500,2.0,<4,>750,,96,Submerged,25.0,24.0,3008,human,epithelial,BEAS- 2B,5x10^3,,,ez_cyto,83.5
40,41,Chaterje N 2015,https://pubmed.ncbi.nlm.nih.gov/26602558/,Graphene,GNPs pristine,,Cheap tubes,F12 + 10% FBS,,,L,1500,2.0,<4,>750,,96,Submerged,50.0,24.0,3008,human,epithelial,BEAS- 2B,5x10^3,,,ez_cyto,60.5
41,42,Chaterje N 2015,https://pubmed.ncbi.nlm.nih.gov/26602558/,Graphene,GNPs pristine,,Cheap tubes,F12 + 10% FBS,,,L,1500,2.0,<4,>750,,96,Submerged,75.0,24.0,3008,human,epithelial,BEAS- 2B,5x10^3,,,ez_cyto,41.9
42,43,Chaterje N 2015,https://pubmed.ncbi.nlm.nih.gov/26602558/,Graphene,GNPs pristine,,Cheap tubes,F12 + 10% FBS,,,L,1500,2.0,<4,>750,,96,Submerged,150.0,24.0,3008,human,epithelial,BEAS- 2B,5x10^3,,,ez_cyto,14.1
43,44,Chaterje N 2015,https://pubmed.ncbi.nlm.nih.gov/26602558/,Graphene oxide,GO single layer,,Cheap tubes,F12 + 10% FBS,,,M,800,1.0,0.7-1.2,,,96,Submerged,75.0,24.0,3009,human,epithelial,BEAS- 2B,5x10^3,,,ez_cyto,68.6
44,45,Chaterje N 2015,https://pubmed.ncbi.nlm.nih.gov/26602558/,Graphene oxide,GO single layer,,Cheap tubes,F12 + 10% FBS,,,M,800,1.0,0.7-1.2,,,96,Submerged,150.0,24.0,3009,human,epithelial,BEAS- 2B,5x10^3,,,ez_cyto,28.1
45,46,Chaterje N 2015,https://pubmed.ncbi.nlm.nih.gov/26602558/,Graphene oxide,GO single layer,,Cheap tubes,F12 + 10% FBS,,,M,800,1.0,0.7-1.2,,,96,Submerged,50.0,24.0,3009,human,epithelial,BEAS- 2B,5x10^3,,,ez_cyto,82.5
46,47,Chaterje N 2015,https://pubmed.ncbi.nlm.nih.gov/26602558/,Graphene oxide,GO single layer,,Cheap tubes,F12 + 10% FBS,,,M,800,1.0,0.7-1.2,,,96,Submerged,100.0,24.0,3009,human,epithelial,BEAS- 2B,5x10^3,,,ez_cyto,49.1
47,48,Chaterje N 2015,https://pubmed.ncbi.nlm.nih.gov/26602558/,Graphene oxide,GO single layer,,Cheap tubes,F12 + 10% FBS,,,M,800,1.0,0.7-1.2,,,96,Submerged,10.0,24.0,3009,human,epithelial,BEAS- 2B,5x10^3,,,ez_cyto,94.6
48,49,Chaterje N 2015,https://pubmed.ncbi.nlm.nih.gov/26602558/,Graphene oxide,GO single layer,,Cheap tubes,F12 + 10% FBS,,,M,800,1.0,0.7-1.2,,,96,Submerged,5.0,24.0,3009,human,epithelial,BEAS- 2B,5x10^3,,,ez_cyto,94.5
49,50,Chaterje N 2015,https://pubmed.ncbi.nlm.nih.gov/26602558/,Graphene oxide,GO single layer,,Cheap tubes,F12 + 10% FBS,,,M,800,1.0,0.7-1.2,,,96,Submerged,25.0,24.0,3009,human,epithelial,BEAS- 2B,5x10^3,,,ez_cyto,88.1
50,51,Chaterje N 2015,https://pubmed.ncbi.nlm.nih.gov/26602558/,Graphene oxide,GO few layers,,Cheap tubes,F12 + 10% FBS,,,M,800,6.0,4.2-7.2,,,96,Submerged,5.0,24.0,3010,human,epithelial,BEAS- 2B,5x10^3,,,ez_cyto,100.0
51,52,Chaterje N 2015,https://pubmed.ncbi.nlm.nih.gov/26602558/,Graphene oxide,GO few layers,,Cheap tubes,F12 + 10% FBS,,,M,800,6.0,4.2-7.2,,,96,Submerged,10.0,24.0,3010,human,epithelial,BEAS- 2B,5x10^3,,,ez_cyto,100.0
52,53,Chaterje N 2015,https://pubmed.ncbi.nlm.nih.gov/26602558/,Graphene oxide,GO few layers,,Cheap tubes,F12 + 10% FBS,,,M,800,6.0,4.2-7.2,,,96,Submerged,25.0,24.0,3010,human,epithelial,BEAS- 2B,5x10^3,,,ez_cyto,93.2
53,54,Chaterje N 2015,https://pubmed.ncbi.nlm.nih.gov/26602558/,Graphene oxide,GO few layers,,Cheap tubes,F12 + 10% FBS,,,M,800,6.0,4.2-7.2,,,96,Submerged,50.0,24.0,3010,human,epithelial,BEAS- 2B,5x10^3,,,ez_cyto,81.4
54,55,Chaterje N 2015,https://pubmed.ncbi.nlm.nih.gov/26602558/,Graphene oxide,GO few layers,,Cheap tubes,F12 + 10% FBS,,,M,800,6.0,4.2-7.2,,,96,Submerged,75.0,24.0,3010,human,epithelial,BEAS- 2B,5x10^3,,,ez_cyto,68.1
55,56,Chaterje N 2015,https://pubmed.ncbi.nlm.nih.gov/26602558/,Graphene oxide,GO few layers,,Cheap tubes,F12 + 10% FBS,,,M,800,6.0,4.2-7.2,,,96,Submerged,100.0,24.0,3010,human,epithelial,BEAS- 2B,5x10^3,,,ez_cyto,52.9
56,57,Chaterje N 2015,https://pubmed.ncbi.nlm.nih.gov/26602558/,Graphene oxide,GO few layers,,Cheap tubes,F12 + 10% FBS,,,M,800,6.0,4.2-7.2,,,96,Submerged,150.0,24.0,3010,human,epithelial,BEAS- 2B,5x10^3,,,ez_cyto,41.0
57,58,Chaterje N 2015,https://pubmed.ncbi.nlm.nih.gov/26602558/,Graphene,GNPs NH2 functionalised,NH2,Cheap tubes,F12 + 10% FBS,,,L,1500,1.5,<3,>750,,96,Submerged,150.0,24.0,3011,human,epithelial,BEAS- 2B,5x10^3,,,ez_cyto,26.32
58,59,Chaterje N 2015,https://pubmed.ncbi.nlm.nih.gov/26602558/,Graphene,GNPs NH2 functionalised,NH2,Cheap tubes,F12 + 10% FBS,,,L,1500,1.5,<3,>750,,96,Submerged,100.0,24.0,3011,human,epithelial,BEAS- 2B,5x10^3,,,ez_cyto,40.1
59,60,Chaterje N 2015,https://pubmed.ncbi.nlm.nih.gov/26602558/,Graphene,GNPs NH2 functionalised,NH2,Cheap tubes,F12 + 10% FBS,,,L,1500,1.5,<3,>750,,96,Submerged,50.0,24.0,3011,human,epithelial,BEAS- 2B,5x10^3,,,ez_cyto,64.4
60,61,Chaterje N 2015,https://pubmed.ncbi.nlm.nih.gov/26602558/,Graphene,GNPs NH2 functionalised,NH2,Cheap tubes,F12 + 10% FBS,,,L,1500,1.5,<3,>750,,96,Submerged,75.0,24.0,3011,human,epithelial,BEAS- 2B,5x10^3,,,ez_cyto,57.7
61,62,Chaterje N 2015,https://pubmed.ncbi.nlm.nih.gov/26602558/,Graphene,GNPs NH2 functionalised,NH2,Cheap tubes,F12 + 10% FBS,,,L,1500,1.5,<3,>750,,96,Submerged,10.0,24.0,3011,human,epithelial,BEAS- 2B,5x10^3,,,ez_cyto,97.5
62,63,Chaterje N 2015,https://pubmed.ncbi.nlm.nih.gov/26602558/,Graphene,GNPs NH2 functionalised,NH2,Cheap tubes,F12 + 10% FBS,,,L,1500,1.5,<3,>750,,96,Submerged,5.0,24.0,3011,human,epithelial,BEAS- 2B,5x10^3,,,ez_cyto,100.0
63,64,Chaterje N 2015,https://pubmed.ncbi.nlm.nih.gov/26602558/,Graphene,GNPs NH2 functionalised,NH2,Cheap tubes,F12 + 10% FBS,,,L,1500,1.5,<3,>750,,96,Submerged,25.0,24.0,3011,human,epithelial,BEAS- 2B,5x10^3,,,ez_cyto,82.0
64,65,Chaterje N 2015,https://pubmed.ncbi.nlm.nih.gov/26602558/,Graphene,GNPs COOH functionaliised,COOH,Cheap tubes,F12 + 10% FBS,,,L,1500,1.5,<3,>750,,96,Submerged,5.0,24.0,3012,human,epithelial,BEAS- 2B,5x10^3,,,ez_cyto,100.0
65,66,Chaterje N 2015,https://pubmed.ncbi.nlm.nih.gov/26602558/,Graphene,GNPs COOH functionaliised,COOH,Cheap tubes,F12 + 10% FBS,,,L,1500,1.5,<3,>750,,96,Submerged,10.0,24.0,3012,human,epithelial,BEAS- 2B,5x10^3,,,ez_cyto,100.0
66,67,Chaterje N 2015,https://pubmed.ncbi.nlm.nih.gov/26602558/,Graphene,GNPs COOH functionaliised,COOH,Cheap tubes,F12 + 10% FBS,,,L,1500,1.5,<3,>750,,96,Submerged,25.0,24.0,3012,human,epithelial,BEAS- 2B,5x10^3,,,ez_cyto,85.0
67,68,Chaterje N 2015,https://pubmed.ncbi.nlm.nih.gov/26602558/,Graphene,GNPs COOH functionaliised,COOH,Cheap tubes,F12 + 10% FBS,,,L,1500,1.5,<3,>750,,96,Submerged,50.0,24.0,3012,human,epithelial,BEAS- 2B,5x10^3,,,ez_cyto,53.4
68,69,Chaterje N 2015,https://pubmed.ncbi.nlm.nih.gov/26602558/,Graphene,GNPs COOH functionaliised,COOH,Cheap tubes,F12 + 10% FBS,,,L,1500,1.5,<3,>750,,96,Submerged,75.0,24.0,3012,human,epithelial,BEAS- 2B,5x10^3,,,ez_cyto,44.2
69,70,Chaterje N 2015,https://pubmed.ncbi.nlm.nih.gov/26602558/,Graphene,GNPs COOH functionaliised,COOH,Cheap tubes,F12 + 10% FBS,,,L,1500,1.5,<3,>750,,96,Submerged,100.0,24.0,3012,human,epithelial,BEAS- 2B,5x10^3,,,ez_cyto,38.7
70,71,Chaterje N 2015,https://pubmed.ncbi.nlm.nih.gov/26602558/,Graphene,GNPs COOH functionaliised,COOH,Cheap tubes,F12 + 10% FBS,,,L,1500,1.5,<3,>750,,96,Submerged,150.0,24.0,3012,human,epithelial,BEAS- 2B,5x10^3,,,ez_cyto,22.9
71,72,Mittal et all 2016,https://www.nature.com/articles/srep39548,Graphene oxide,GO,,in house ,DMEM F12 +10%FBS,126.3,,S,400,1.0,,,-13.7,96,Submerged,100.0,24.0,4070,human,epithelial,A549,10^4,NO,,viability_pi,74.04255319
72,73,Mittal et all 2016,https://www.nature.com/articles/srep39548,Graphene oxide,GO,,in house ,DMEM F12 +10%FBS,126.3,,S,400,1.0,,,-13.7,96,Submerged,50.0,24.0,4070,human,epithelial,A549,10^4,NO,,viability_pi,82.34042553
73,74,Mittal et all 2016,https://www.nature.com/articles/srep39548,Graphene oxide,GO,,in house ,DMEM F12 +10%FBS,126.3,,S,400,1.0,,,-13.7,96,Submerged,10.0,24.0,4070,human,epithelial,A549,10^4,NO,,viability_pi,90.85106383
74,75,Mittal et all 2016,https://www.nature.com/articles/srep39548,Graphene oxide,GO,,in house ,DMEM F12 +10%FBS,126.3,,S,400,1.0,,,-13.7,96,Submerged,1.0,24.0,4070,human,epithelial,A549,10^4,NO,,viability_pi,96.17021277
75,76,Mittal et all 2016,https://www.nature.com/articles/srep39548,Graphene oxide,GO,,in house ,DMEM F12 +10%FBS,126.3,,S,400,1.0,,,-13.7,96,Submerged,25.0,24.0,4070,human,epithelial,A549,10^4,NO,,viability_pi,85.85106383
76,77,Mittal et all 2016,https://www.nature.com/articles/srep39548,Graphene oxide,GO,,in house ,RPMI + 10% FBS,126.3,,S,400,1.0,,,-13.7,96,Submerged,1.0,24.0,4074,human,epithelial,BEAS- 2B,10^4,NO,,viability_pi,96.41025641
77,78,Mittal et all 2016,https://www.nature.com/articles/srep39548,Graphene oxide,GO,,in house ,RPMI + 10% FBS,126.3,,S,400,1.0,,,-13.7,96,Submerged,10.0,24.0,4074,human,epithelial,BEAS- 2B,10^4,NO,,viability_pi,93.46153846
78,79,Mittal et all 2016,https://www.nature.com/articles/srep39548,Graphene oxide,GO,,in house ,RPMI + 10% FBS,126.3,,S,400,1.0,,,-13.7,96,Submerged,25.0,24.0,4074,human,epithelial,BEAS- 2B,10^4,NO,,viability_pi,90.64102564
79,80,Mittal et all 2016,https://www.nature.com/articles/srep39548,Graphene oxide,GO,,in house ,RPMI + 10% FBS,126.3,,S,400,1.0,,,-13.7,96,Submerged,50.0,24.0,4074,human,epithelial,BEAS- 2B,10^4,NO,,viability_pi,88.84615385
80,81,Mittal et all 2016,https://www.nature.com/articles/srep39548,Graphene oxide,GO,,in house ,RPMI + 10% FBS,126.3,,S,400,1.0,,,-13.7,96,Submerged,100.0,24.0,4074,human,epithelial,BEAS- 2B,10^4,NO,,viability_pi,82.5
81,82,Mittal et all 2016,https://www.nature.com/articles/srep39548,rGO,thermally reduced GO,,in house ,DMEM F12 +10%FBS,66.98,,S,150,3.5,,,-6.9,96,Submerged,50.0,24.0,4078,human,epithelial,A549,10^4,NO,,viability_pi,77.87234043
82,83,Mittal et all 2016,https://www.nature.com/articles/srep39548,rGO,thermally reduced GO,,in house ,DMEM F12 +10%FBS,66.98,,S,150,3.5,,,-6.9,96,Submerged,25.0,24.0,4078,human,epithelial,A549,10^4,NO,,viability_pi,83.82978723
83,84,Mittal et all 2016,https://www.nature.com/articles/srep39548,rGO,thermally reduced GO,,in house ,DMEM F12 +10%FBS,66.98,,S,150,3.5,,,-6.9,96,Submerged,100.0,24.0,4078,human,epithelial,A549,10^4,NO,,viability_pi,69.57446809
84,85,Mittal et all 2016,https://www.nature.com/articles/srep39548,rGO,thermally reduced GO,,in house ,DMEM F12 +10%FBS,66.98,,S,150,3.5,,,-6.9,96,Submerged,1.0,24.0,4078,human,epithelial,A549,10^4,NO,,viability_pi,93.08510638
85,86,Mittal et all 2016,https://www.nature.com/articles/srep39548,rGO,thermally reduced GO,,in house ,DMEM F12 +10%FBS,66.98,,S,150,3.5,,,-6.9,96,Submerged,10.0,24.0,4078,human,epithelial,A549,10^4,NO,,viability_pi,88.19148936
86,87,Mittal et all 2016,https://www.nature.com/articles/srep39548,rGO,thermally reduced GO,,in house ,RPMI + 10% FBS,66.98,,S,150,3.5,,,-6.9,96,Submerged,1.0,24.0,4082,human,epithelial,BEAS- 2B,10^4,NO,,viability_pi,94.48717949
87,88,Mittal et all 2016,https://www.nature.com/articles/srep39548,rGO,thermally reduced GO,,in house ,RPMI + 10% FBS,66.98,,S,150,3.5,,,-6.9,96,Submerged,10.0,24.0,4082,human,epithelial,BEAS- 2B,10^4,NO,,viability_pi,88.84615385
88,89,Mittal et all 2016,https://www.nature.com/articles/srep39548,rGO,thermally reduced GO,,in house ,RPMI + 10% FBS,66.98,,S,150,3.5,,,-6.9,96,Submerged,25.0,24.0,4082,human,epithelial,BEAS- 2B,10^4,NO,,viability_pi,84.80769231
89,90,Mittal et all 2016,https://www.nature.com/articles/srep39548,rGO,thermally reduced GO,,in house ,RPMI + 10% FBS,66.98,,S,150,3.5,,,-6.9,96,Submerged,50.0,24.0,4082,human,epithelial,BEAS- 2B,10^4,NO,,viability_pi,81.21794872
90,91,Mittal et all 2016,https://www.nature.com/articles/srep39548,rGO,thermally reduced GO,,in house ,RPMI + 10% FBS,66.98,,S,150,3.5,,,-6.9,96,Submerged,100.0,24.0,4082,human,epithelial,BEAS- 2B,10^4,NO,,viability_pi,75.51282051
